Rank,Team,Points,Wins,Losses,Draws,GS,GC,GD
1,Atletico Madrid,81,25,7,6,68,29,39
2,Torino,75,23,9,6,65,31,34
3,Fiorentina,74,21,6,11,59,27,32
4,Wolverhampton,72,23,12,3,61,49,12
5,R.S. San Sebastian,71,19,5,14,59,32,27
6,Inter Mailand,71,19,5,14,63,38,25
7,Newcastle,71,21,9,8,56,34,22
8,Tottenham Hotspur,69,21,11,6,63,31,32
9,Werder Bremen,67,21,9,4,51,29,22
10,FC Valencia,66,18,8,12,48,29,19
11,Athletic Bilbao,66,18,8,12,60,43,17
12,Chelsea,64,18,10,10,48,31,17
13,Girona FC,64,20,14,4,60,46,14
14,Aston Villa,63,17,9,12,52,29,23
15,Liverpool,63,18,11,9,59,39,20
16,West Ham United,63,17,9,12,56,41,15
17,Rennes,61,18,9,7,51,33,18
18,Las Palmas,60,17,12,9,51,33,18
19,Lazio Rom,60,18,14,6,48,37,11
20,Napoli,59,17,13,8,53,34,19
21,TSG Hoffenheim,59,15,5,14,43,27,16
22,Juventus Turin,59,16,11,11,53,40,13
23,Manchester United,59,16,11,11,45,41,4
24,Real Madrid,58,16,12,10,58,46,12
25,Atalanta Bergamo,58,15,10,13,53,42,11
26,Lille,57,16,9,9,49,30,19
27,Arsenal,57,16,13,9,62,55,7
28,Manchester City,57,17,15,6,64,61,3
29,RC Strassburg,56,17,12,5,55,36,19
30,FC Barcelona,56,16,14,8,48,43,5
31,Genoa,56,15,12,11,36,36,0
32,1. FC Heidenheim,55,15,9,10,49,38,11
33,Brighton,55,15,13,10,54,45,9
34,RB Leipzig,54,15,10,9,43,32,11
35,Alaves Vitoria,54,13,10,15,50,44,6
36,Granada,54,15,14,9,45,46,-1
37,Paris St-Germain,53,15,11,8,45,37,8
38,Bayern München,53,15,11,8,47,41,6
39,Betis Sevilla,52,12,10,16,52,44,8
40,Lens,52,15,12,7,46,42,4
41,AC Milan,52,13,12,13,52,48,4
42,Le Havre AC,52,17,16,1,41,45,-4
43,Cagliari,52,13,12,13,34,44,-10
44,AS Monaco,51,13,9,12,50,35,15
45,Eintracht Frankfurt,51,13,9,12,44,35,9
46,Lecce,51,13,13,12,41,39,2
47,Olympique Marseille,50,14,12,8,41,29,12
48,SC Freiburg,50,13,10,11,47,39,8
49,Getafe,50,14,16,8,42,53,-11
50,Montpellier,49,12,9,13,40,36,4
51,AS Roma,49,12,13,13,45,44,1
52,VfB Stuttgart,48,13,12,9,52,42,10
53,Stade Reims,48,14,14,6,48,41,7
54,OGC Nizza,48,15,16,3,47,47,0
55,Mönchengladbach,47,12,11,11,48,45,3
56,Brest,47,14,15,5,45,46,-1
57,Bayer Leverkusen,45,11,11,12,46,34,12
58,Union Berlin,45,11,11,12,40,45,-5
59,Udinese,45,12,17,9,36,46,-10
60,Metz,45,12,13,9,32,45,-13
61,Bournemouth,45,13,19,6,40,69,-29
62,Fulham,44,11,16,11,51,54,-3
63,Almeria,44,11,16,11,40,46,-6
64,Augsburg,44,11,12,11,35,41,-6
65,Villareal,44,11,16,11,38,45,-7
66,Monza,44,11,16,11,49,57,-8
67,Borussia Dortmund,43,11,13,10,35,42,-7
68,Everton,43,12,19,7,39,58,-19
69,Bologna,42,10,16,12,42,46,-4
70,Nottingham Forest,42,10,16,12,41,49,-8
71,Lorient,42,12,16,6,31,47,-16
72,Brentford,41,10,17,11,32,51,-19
73,Frosinone,41,10,17,11,40,61,-21
74,Lyon,40,12,18,4,38,48,-10
75,Burnley,40,10,18,10,41,53,-12
76,Verona,40,10,18,10,36,54,-18
77,Empoli,40,12,22,4,33,56,-23
78,Celta Vigo,39,9,17,12,37,60,-23
79,Osasuna,39,11,21,6,35,64,-29
80,Rayo Vallecano,38,10,20,8,37,53,-16
81,FSV Mainz 05,37,11,19,4,34,50,-16
82,Cadiz CF,37,9,19,10,31,53,-22
83,Nantes,37,10,17,7,39,62,-23
84,Salernitana,37,10,21,7,33,56,-23
85,Crystal Palace,37,10,21,7,30,57,-27
86,Toulouse,35,9,17,8,27,46,-19
87,Luton Town,35,8,19,11,32,53,-21
88,VfL Bochum,34,8,16,10,36,51,-15
89,1. FC Köln,34,7,14,13,26,41,-15
90,FC Sevilla,34,6,16,16,29,53,-24
91,Clermont Foot,32,8,18,8,32,52,-20
92,Darmstadt,32,8,18,8,25,45,-20
93,VfL Wolfsburg,32,8,18,8,28,52,-24
94,Sassuolo,32,7,20,11,31,66,-35
95,Sheffield United,30,7,22,9,24,50,-26
96,RCD Mallorca,29,6,21,11,38,64,-26
